Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
,,,,,5:0,LINE_MAD_FAC_2_G,RW,,4. line Mean Absolute Difference (MAD) factor for set 2 green,
,,C34,c_dpcc_pg_fac_2,ISP_DPCC_PG_FAC_2,13:8,PG_FAC_2_RB,RW,,5. Peak gradient factor for set 2 red/blue,
,,,,,5:0,PG_FAC_2_G,RW,,6. Peak gradient factor for set 2 green,
,,C38,c_dpcc_rnd_thresh_2,ISP_DPCC_RND_THRESH_2,15:8,RND_THR_2_RB,RW,,7. Rank Neighbor Difference threshold for set 2 red/blue,
,,,,,7:0,RND_THR_2_G,RW,,8. Rank Neighbor Difference threshold for set 2 green,
,,C3C,c_dpcc_rg_fac_2,ISP_DPCC_RG_FAC_2,13:8,RG_FAC_2_RB,RW,,9. Rank gradient factor for set 2 red/blue,
,,,,,5:0,RG_FAC_2_G,RW,,10. Rank gradient factor for set 2 green,
,,C40,c_dpcc_line_thresh_3,ISP_DPCC_LINE_THRESH_3,15:8,LINE_THR_3_RB,RW,,1. line threshold for set 3 red/blue,
,,,,,7:0,LINE_THR_3_G,RW,,2. line threshold for set 3 green,
,,C44,c_dpcc_line_mad_fac_3,ISP_DPCC_LINE_MAD_FAC_3,13:8,LINE_MAD_FAC_3_RB,RW,,3. line Mean Absolute Difference (MAD) factor for set 3 red/blue,
,,,,,5:0,LINE_MAD_FAC_3_G,RW,,4. line Mean Absolute Difference (MAD) factor for set 3 green,
,,C48,c_dpcc_pg_fac_3,ISP_DPCC_PG_FAC_3,13:8,PG_FAC_3_RB,RW,,5. Peak gradient factor for set 3 red/blue,
,,,,,5:0,PG_FAC_3_G,RW,,6. Peak gradient factor for set 3 green,
,,C4C,c_dpcc_rnd_thresh_3,ISP_DPCC_RND_THRESH_3,15:8,RND_THR_3_RB,RW,,7. Rank Neighbor Difference threshold for set 3 red/blue,
,,,,,7:0,RND_THR_3_G,RW,,8. Rank Neighbor Difference threshold for set 3 green,
,,C50,c_dpcc_rg_fac_3,ISP_DPCC_RG_FAC_3,13:8,RG_FAC_3_RB,RW,,9. Rank gradient factor for set 3 red/blue,
,,,,,5:0,RG_FAC_3_G,RW,,10. Rank gradient factor for set 3 green,
,,C54,c_dpcc_ro_limits,ISP_DPCC_RO_LIMITS,11:10,RO_LIM_3_RB,RW,,11. Rank order limit for set 3 red/blue,
,,,,,9:8,RO_LIM_3_G,RW,,12. Rank order limit for set 3 green,
,,,,,7:6,RO_LIM_2_RB,RW,,11. Rank order limit for set 2 red/blue,
,,,,,5:4,RO_LIM_2_G,RW,,12. Rank order limit for set 2 green,
,,,,,3:2,RO_LIM_1_RB,RW,,11. Rank order limit for set 1 red/blue,
,,,,,1:0,RO_LIM_1_G,RW,,12. Rank order limit for set 1 green,
,,C58,c_dpcc_rnd_offs,ISP_DPCC_RND_OFFS,11:10,RND_OFFS_3_RB,RW,,13. Rank Offset to Neighbor for set 3 red/blue,
,,,,,9:8,RND_OFFS_3_G,RW,,14. Rank Offset to Neighbor for set 3 green,
,,,,,7:6,RND_OFFS_2_RB,RW,,13. Rank Offset to Neighbor for set 2 red/blue,
,,,,,5:4,RND_OFFS_2_G,RW,,14. Rank Offset to Neighbor for set 2 green,
,,,,,3:2,RND_OFFS_1_RB,RW,,13. Rank Offset to Neighbor for set 1 red/blue,
,,,,,1:0,RND_OFFS_1_G,RW,,14. Rank Offset to Neighbor for set 1 green,
,,C5C,c_dpcc_bpt_ctrl,ISP_DPCC_BPT_CTRL,11,BPT_RB_3x3,RW,,"1: if BPT active red/blue 9 pixel (3x3) output median
0: if BPT active red/blue 4 or 5 pixel output median *Default*",
,,,,,10,BPT_G_3x3,RW,,"1: if BPT active green 9 pixel (3x3) output median
0: if BPT active green 4 or 5 pixel output median *Default*",
,,,,,9,BPT_INCL_RB_CENTER,RW,,"1: if BPT active include center pixel for red/blue output median
2x2+1
0: if BPT active do not include center pixel for red/blue output
median 2x2 *Default*",
,,,,,8,BPT_INCL_GREEN_CENTER,RW,,"1: if BPT active include center pixel for green output median
2x2+1
0: if BPT active do not include center pixel for green output
median 2x2 *Default*",
,,,,,7,BPT_USE_FIX_SET,RW,,"1: for BPT write use hard coded methods set
0: for BPT write do not use hard coded methods set *Default*",
,,,,,6,BPT_USE_SET_3,RW,,"1: for BPT write use methods set 3
0: for BPT write do not use methods set 3 *Default*",
,,,,,5,BPT_USE_SET_2,RW,,"1: for BPT write use methods set 2
0: for BPT write do not use methods set 2 *Default*",
,,,,,4,BPT_USE_SET_1,RW,,"1: for BPT write use methods set 1
0: for BPT write do not use methods set 1 *Default*",
,,,,,1,bpt_cor_en,RW,,"table based correction enable
1: table based correction is enabled
0: table based correction is disabled",
,,,,,0,bpt_det_en,RW,,"Bad pixel detection write enable
1: bad pixel detection write to memory is enabled
0: bad pixel detection write to memory is disabled",
,,C60,c_dpcc_bpt_num,ISP_DPCC_BPT_NUMBER,10:0,bp_number,RWH,,Number of current Bad Pixel entries in bad pixel table (BPT),
,,C64,c_dpcc_bpt_table_addr,ISP_DPCC_BPT_ADDR,10:0,bp_table_addr,RWH,,"Table RAM start address for read or write operations. The
address counter is incremented at each read or write access to
the data register (auto-increment mechanism).",
,,C68,c_dpcc_bpt_table_data,ISP_DPCC_BPT_DATA,27:16,bpt_v_addr,RWH,,Bad Pixel vertical address (pixel position),
,,,,,12:0,bpt_h_addr,RWH,,Bad Pixel horizontal address (pixel position),
DPF,4001B/1D,B00,c_dpf_mode,ISP_DPF_MODE,9,USE_NF_GAIN,RW,,"1: DPF_NF_GAINs will be used.
0: DPF_NF_GAINs will not be used. *Default*",
,,,,,8,LSC_GAIN_COMP,RW,,"1: LSC gain will be processed
0: LSC gain will not be processed. Use LSC gain factor of 1.
*Default*",
,,,,,7,AWB_GAIN_COMP,RW,,"Only relevant when use_nf_gain == 0 &&
ISP_CTRL::ISP_AWB_ENABLE ==1
1: ISP_AWB gains will be processed
0: ISP_AWB gains will not be processed. Use AWB gain factor
of 1. *Default*",
,,,,,6,NLL_SEGMENTATION,RW,,"1: optimized logarithmic like segmentation for Noise Level
Lookup (NLL)
0: equidistant segmentation for NLL *Default*",
,,,,,5,RB_FILTER_SIZE,RW,,"RB通道滤波尺寸选择：
1: Red and Blue filter kernel size of 9x9 (5x5 active) pixels
0: Wide Red and Blue filter kernel size of 13x9 (7x5 active)
pixels *Default*",
,,,,,4,R_FILTER_OFF,RW,,"各通道处理滤波开关：
1: disable filter processing for red pixels
0: filter R pixels *Default*",
,,,,,3,GR_FILTER_OFF,RW,,"各通道处理滤波开关：
1: disable filter processing for red pixels
0: filter R pixels *Default*",
,,,,,2,GB_FILTER_OFF,RW,,"各通道处理滤波开关：
1: disable filter processing for red pixels
0: filter R pixels *Default*",
,,,,,1,B_FILTER_OFF,RW,,"各通道处理滤波开关：
1: disable filter processing for red pixels
0: filter R pixels *Default*",
,,,,,0,DPF_ENABLE,RW,,模块的开关（bypass）,
,,B04,c_dpf_inv_stren_r,ISP_DPF_STRENGTH_R,7:0,INV_WEIGHT_R,RW,,"Filter strength of the filter is determined by weight. Default is a weight of 1. A higher weight increases the filter strength. In this register the unsigned 8 bit value 64/weight is stored.
The following values show examples:
weight=0.251 -> 255, weight=0.5 -> 128,
weight=1 -> 64 *default*
weight=1.25 -> 51, weight=1.5 -> 42,
weight=1.75 -> 37, weight=2 -> 32",
,,B08,c_dpf_inv_stren_g,ISP_DPF_STRENGTH_G,7:0,INV_WEIGHT_G,RW,,,
,,B0C,c_dpf_inv_stren_b,ISP_DPF_STRENGTH_B,7:0,INV_WEIGHT_B,RW,,,
,,B10,c_dpf_sp_weight_g14,ISP_DPF_S_WEIGHT_G_1_4,28:24,S_WEIGHT_G4,RW,,"滤波系数配置
Filter Coefficient green channel S_WEIGHT_G6
5 bit unsigned, value range 1/16 to 16/16
Default value is 16/16 (*Default*)",
,,,,,20:16,S_WEIGHT_G3,RW,,,
,,,,,12:8,S_WEIGHT_G2,RW,,,
,,,,,4:0,S_WEIGHT_G1,RW,,,
,,B14,"c_dpf_sp_weight_g56
",ISP_DPF_S_WEIGHT_G_5_6,12:8,S_WEIGHT_G6,RW,,,
,,,,,4:0,S_WEIGHT_G5,RW,,,
,,B18,c_dpf_sp_weight_rb14,ISP_DPF_S_WEIGHT_RB_1_4,28:24,S_WEIGHT_RB4,RW,,"Filter Coefficient red/blue channels S_WEIGHT_RB4
5 bit unsigned, value range 1/16 to 16/16
Default value is 16/16 (*Default*)",
,,,,,20:16,S_WEIGHT_RB3,RW,,,
,,,,,12:8,S_WEIGHT_RB2,RW,,,
,,,,,4:0,S_WEIGHT_RB1,RW,,,
,,B1C,c_dpf_sp_weight_rb56,ISP_DPF_S_WEIGHT_RB_5_6,12:8,S_WEIGHT_RB6,RW,,,
,,,,,4:0,S_WEIGHT_RB5,RW,,,
,,B20,c_dpf_nll_y0,ISP_DPF_NLL_COEFF_0,9:0,nll_coeff_0,RW,,"Noise Level Lookup Table Coefficient nll_coeff_n 
10 bit unsigned, value range 1/1024 to 1023/1024 (*Default*)",
,,B24,c_dpf_nll_y1,ISP_DPF_NLL_COEFF_1,9:0,nll_coeff_1,RW,,,
,,B28,c_dpf_nll_y2,ISP_DPF_NLL_COEFF_2,9:0,nll_coeff_2,RW,,,
,,B2C,c_dpf_nll_y3,ISP_DPF_NLL_COEFF_3,9:0,nll_coeff_3,RW,,,
,,B30,c_dpf_nll_y4,ISP_DPF_NLL_COEFF_4,9:0,nll_coeff_4,RW,,,
,,B34,c_dpf_nll_y5,ISP_DPF_NLL_COEFF_5,9:0,nll_coeff_5,RW,,,
,,B38,c_dpf_nll_y6,ISP_DPF_NLL_COEFF_6,9:0,nll_coeff_6,RW,,,
,,B3C,c_dpf_nll_y7,ISP_DPF_NLL_COEFF_7,9:0,nll_coeff_7,RW,,,
,,B40,c_dpf_nll_y8,ISP_DPF_NLL_COEFF_8,9:0,nll_coeff_8,RW,,,
,,B44,c_dpf_nll_y9,ISP_DPF_NLL_COEFF_9,9:0,nll_coeff_9,RW,,,
,,B48,c_dpf_nll_y10,ISP_DPF_NLL_COEFF_10,9:0,nll_coeff_10,RW,,,
,,B4C,c_dpf_nll_y11,ISP_DPF_NLL_COEFF_11,9:0,nll_coeff_11,RW,,,
,,B50,c_dpf_nll_y12,ISP_DPF_NLL_COEFF_12,9:0,nll_coeff_12,RW,,,
,,B54,c_dpf_nll_y13,ISP_DPF_NLL_COEFF_13,9:0,nll_coeff_13,RW,,,
,,B58,c_dpf_nll_y14,ISP_DPF_NLL_COEFF_14,9:0,nll_coeff_14,RW,,,
,,B5C,c_dpf_nll_y15,ISP_DPF_NLL_COEFF_15,9:0,nll_coeff_15,RW,,,
,,B60,c_dpf_nll_y16,ISP_DPF_NLL_COEFF_16,9:0,nll_coeff_16,RW,,,
,,B64,c_dpf_nf_gain_r,ISP_DPF_NF_GAIN_R,11:0,DPF_NF_GAIN_R,RW,,"Noise Function (NF) Gain that replaces the AWB gain for R/GR/GB/B pixels.
12 bit unsigned integer format: gain=1 -> 0x100",
,,B68,c_dpf_nf_gain_gr,ISP_DPF_NF_GAIN_GR,11:0,DPF_NF_GAIN_GR,RW,,,
,,B6C,c_dpf_nf_gain_gb,ISP_DPF_NF_GAIN_GB,11:0,DPF_NF_GAIN_GB,RW,,,
,,B70,c_dpf_nf_gain_b,ISP_DPF_NF_GAIN_GB,11:0,DPF_NF_GAIN_B,RW,,,
NLM,4001B/1D,400,c_nlm_ctrl,ISP_NLM_CTRL,31,nlm_bypass_control,RW,,模块的开关（bypass）,
,,,,,1:0,nlm_regs_bay_pat,RW,,,
,,404,c_nlm_exp_a,ISP_NLM_EXP_A,11:0,nlm_x0_exp,RW,,降噪参数，影响降噪能力,
,,,,,31:20,nlm_x1_exp,RW,,,
,,408,c_nlm_exp_b,ISP_NLM_EXP_B,11:0,nlm_x2_exp,RW,,,
,,,,,31:20,nlm_x3_exp,RW,,,
,,40C,c_nlm_exp_c,ISP_NLM_EXP_C,11:0,nlm_x4_exp,RW,,,
,,,,,31:20,nlm_x5_exp,RW,,,
,,410,c_nlm_exp_d,ISP_NLM_EXP_D,11:0,nlm_x6_exp,RW,,,
,,414,c_nlm_exp_ctrl,ISP_NLM_EXP_CTRL,31,nlm_en_exp,RW,,,
,,,,,30,nlm_upgrade_exp,RW,,,
REC,4001B/1D,120,c_rec_bypass_control_cxy,,0,rec_bypass_control,RW,,模块的开关（bypass）,
,,,,,10:1,rec_cx,RW,,,
,,,,,20:11,rec_cy,RW,,,
,,124,c_rec_h00,ISP_REC_H00,21:0,rec_H00,RW,,,
,,128,c_rec_h01,ISP_REC_H01,21:0,rec_H01,RW,,,
,,12C,c_rec_h02,ISP_REC_H02,21:0,rec_H02,RW,,,
,,130,c_rec_h10,ISP_REC_H10,21:0,rec_H10,RW,,,
,,134,c_rec_h11,ISP_REC_H11,21:0,rec_H11,RW,,,
,,138,c_rec_h12,ISP_REC_H12,21:0,rec_H12,RW,,,
,,13C,c_rec_h20,ISP_REC_H20,21:0,rec_H20,RW,,,
,,140,c_rec_h21,ISP_REC_H21,21:0,rec_H21,RW,,,
,,144,c_rec_h22,ISP_REC_H22,21:0,rec_H22,RW,,,
,,148,c_rec_k12,ISP_REC_K12,15:0,rec_k1,RW,,,
,,,,,31:16,rec_k2,RW,,,
,,14C,c_rec_fxy0,ISP_REC_FXY0,11:0,rec_fxo,RW,,,
,,,,,23:12,rec_fyo,RW,,,
Filter,4001B/1D,800,c_filt_mode,ISP_FILT_MODE,11:8,stage1_select,RW,,"模块的开关（bypass）
1 enable filter 
0 bypass filter Default",
,,,,,7:6,filt_chr_h_mode,RW,,"0 green filter static mode (active filter factor = FILT_FAC_MID) 
1 dynamic noise reduction/sharpen Default",
,,,,,5:4,filt_chr_v_mode,RW,,"Chroma filter vertical mode 
00 vertical chroma filter bypass 
01 vertical chroma filter 1 static [8 16 8] 
10 vertical chroma filter 2 static [10 12 10] 
11 vertical chroma filter 3 static [12 8 12] Default",
,,,,,1,filt_mode,RW,,"Chroma filter horizontal mode 
00 horizontal chroma filter bypass 
01 horizontal chroma filter 1 static mask = [10 12 10] 
10 horizontal chroma filter 2 (dynamic blur1) 
11 horizontal chroma filter 3 (dynamic blur2) Default",
,,,,,0,filt_enable,RW,,"Green filter stage 1 select (range 0x0...0x8) 
0x0 maximum blurring 
0x4 Default 
0x7 minimum blurring 
0x8 filter stage1 bypass 
For a detailed description refer to chapter ""ISP Filter 
Programming"" of user manual",
,,828,c_filt_thres_bl0,ISP_FILT_THRESH_BL0,9:0,filt_thresh_bl0,RW,,"If filt_thresh_bl1 < sum_grad < filt_thresh_bl0 then filt_fac_bl0 is 
selected",
,,82C,c_filt_thres_bl1,ISP_FILT_THRESH_BL1,9:0,filt_thresh_bl1,RW,,If sum_grad < filt_thresh_bl1 then filt_fac_bl1 is selected,
,,830,c_filt_thres_sh0,ISP_FILT_THRESH_SH0,9:0,filt_thresh_sh0,RW,,If filt_thresh_sh0 < sum_grad < filt_thresh_sh1 then filt_thresh_sh0 is selected,
,,834,c_filt_thres_sh1,ISP_FILT_THRESH_SH1,9:0,filt_thresh_sh1,RW,,f filt_thresh_sh1 < sum_grad then filt_thresh_sh1 is selected,
,,838,c_filt_lum_weigt,ISP_FILT_LUM_WEIGHT,18:16,lum_weight_gain,RW,,Gain select of luminance weight function,
,,,,,15:8,lum_weight_kink,RW,,Kink position of luminance weight function,
,,,,,7:0,lum_weight_min,RW,,Minimum value of luminance weight function,
,,83C,c_filt_fac_sh1,ISP_FILT_FAC_SH1,5:0,filt_fac_sh1,RW,,Filter factor for sharp1 level,
,,840,c_filt_fac_sh0,ISP_FILT_FAC_SH0,5:0,filt_fac_sh0,RW,,Filter factor for sharp0 level,
,,844,c_filt_fac_mid,ISP_FILT_FAC_MID,5:0,filt_fac_mid,RW,,Filter factor for mid level and for static filter mode,
,,848,c_filt_fac_bl0,ISP_FILT_FAC_BL0,5:0,filt_fac_bl0,RW,,Filter factor for blur 0 level,
,,84C,c_filt_fac_bl1,ISP_FILT_FAC_BL1,5:0,filt_fac_bl1,RW,,Filter factor for blur 1 level (max blur),
CAC,4001B/1D,880,c_cac_ctrl,ISP_CAC_CTRL,0,cac_en,RW,,"0: chromatic aberration correction off 
1: chromatic aberration correction on",
,,,,,2:1,v_clip_mode,RW,,"Defines the maximum red/blue pixel shift in vertical direction 
00: Set vertical vector clipping to +/-2 pixel ; fix filter_enable? (Default) 
01: Set vertical vector clipping to +/-3 pixel; dynamic 
filter_enable for chroma low pass filter 
10: Set vertical vector clipping +/-3 or +/-4 pixel displacement depending on pixel position inside the Bayer raster (dynamic switching between +/-3 and +/-4) 
11: reserved",
,,,,,3,h_clip_mode,RW,,"Defines the maximum red/blue pixel shift in horizontal direction? At pixel positions, that require a larger displacement, the maximum shift value is used instead (vector clipping) 
0: Set horizontal vector clipping to +/-4 pixel displacement (Default) 
1: Set horizontal vector clipping to +/-4 or +/-5 pixel 
displacement depending on pixel position inside the Bayer raster (dynamic switching between +/-4 and +/-5)",
,,884,c_cac_count_start,ISP_CAC_COUNT_START,28:16,v_count_start,RW,,"13 bit v_count preload value (range 8191 ... 1) of the vertical CAC line counter. Before frame start v_count has to be preloaded with (v_size/2 + v_center_offset), with v_size the image height and v_center_offset the vertical distance between image center and optical center. 
After frame start the v_count decrements with every line until a value of zero is reached for the line in the optical center. Than the v_sign bit toggles and the v_counter decrements with every line until end of frame.",
,,,,,12:0,h_count_start,RW,,"13 bit h_count preload value (range 8191 .. 1) of the horizontal CAC pixel counter. Before line start h_count has to be preloaded with (h_size/2 + h_center_offset), with h_size the image width and h_center_offset the horizontal distance between image center and optical center. 
After line start the h_count decrements with every pixel until a value of zero is reached for the column in the optical center. Than the h_sign bit toggles and the h_counter increments with every pixel until end of line.",
,,888,c_cac_a,ISP_CAC_A,24:16,A_Blue,RW,,"Parameter A_Blue for radial blue shift calculation, according to (A_Blue * r + B_Blue * r^2 + C_Blue * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,,,,8:0,A_Red,RW,,"Parameter A_Red for radial red shift calculation, according to (A_Red * r + B_Red * r^2 + C_Red * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,88C,c_cac_b,ISP_CAC_B,24:16,B_Blue,RW,,"Parameter B_Blue for radial blue shift calculation, according to (A_Blue * r + B_Blue * r^2 + C_Blue * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,,,,8:0,B_Red,RW,,"Parameter B_Red for radial red shift calculation, according to (A_Red * r + B_Red * r^2 + C_Red * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,890,c_cac_c,ISP_CAC_C,24:16,C_Blue,RW,,"Parameter C_Blue for radial blue shift calculation, according to (A_Blue * r + B_Blue * r^2 + C_Blue * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,,,,8:0,C_Red,RW,,"Parameter C_Red for radial red shift calculation, according to (A_Red * r + B_Red * r^2 + C_Red * r^3). 
It is a 9 bit twos complement integer with 4 fractional digits value and value range from -16 up to 15.9375.",
,,894,c_cac_x_norm,ISP_CAC_X_NORM,19:16,x_ns,RW,,"Horizontal normalization shift parameter x_ns (4 bit unsigned integer) in equation 
x_d[7:0] = (((h_count << 4) >> x_ns) * x_nf) >> 5",
,,,,,4:0,x_nf,RW,,"Horizontal scaling or normalization factor x_nf (5 bit unsigned integer) range 0 .. 31 in equation 
x_d[7:0] = (((h_count << 4) >> x_ns) * x_nf) >> 5",
,,898,c_cac_y_norm,ISP_CAC_Y_NORM,19:16,y_ns,RW,,"Vertical normalization shift parameter y_ns (4 bit unsigned integer) in equation 
y_d[7:0] = (((v_count << 4) >> y_ns) * y_nf) >> 5",
,,,,,4:0,y_nf,RW,,"Vertical scaling or normalization factor y_nf (5 bit unsigned integer) range 0 .. 31 in equation 
y_d[7:0] = (((v_count << 4) >> y_ns) * y_nf) >> 5",
